название тура,slug,ссылка max,статус
13 городов Золотого Кольца России,13-gorodov-zolotogo-koltsa-rossii,https://max.ru/id230814735866_2_bot?startapp=173,
«Абхазия на Первомай: Погружение в природу и традиции»,abkhaziya-na-pervomaj-pogruzhenie-v-prirodu-i-traditsii,https://max.ru/id230814735866_2_bot?startapp=176,
Абрау — Новороссийск — Геленджик,abrau-novorossijsk-gelendzhik-1-den,https://max.ru/id230814735866_2_bot?startapp=80,
Абрау-Дюрсо по-новому и Геленджик,abrau-dyurso-po-novomu-gelendzhik,https://max.ru/id230814735866_2_bot?startapp=142,
Абрау-Дюрсо: винный день,abrau-dyurso-vinnyj-den,https://max.ru/id230814735866_2_bot?startapp=4,
Абрау-Дюрсо: эко-тропа и Шато-Пино,abrau-eko-tropa-shato-pino,https://max.ru/id230814735866_2_bot?startapp=81,
Абхазия на 3 дня,abhazia-3-dnya,https://max.ru/id230814735866_2_bot?startapp=12,
Адыгея: горы и термальные источники,adygeya-termy-weekend,https://max.ru/id230814735866_2_bot?startapp=11,
Архыз. Весна,arkhyz-vesna,https://max.ru/id230814735866_2_bot?startapp=185,
Архыз: горная перезагрузка,arkhyz-gornaya-perezagruzka,https://max.ru/id230814735866_2_bot?startapp=188,
Архыз: горный уикенд,arhyz-gornyj-weekend,https://max.ru/id230814735866_2_bot?startapp=7,
Беларусь: Путь Магнатов,belarus-put-magnatov-5-dnej,https://max.ru/id230814735866_2_bot?startapp=62,
Белорусская мозаика,belorusskaya-mozaika-1-den,https://max.ru/id230814735866_2_bot?startapp=64,
Белорусские каникулы,belorusskie-kanikuly-3-dnya,https://max.ru/id230814735866_2_bot?startapp=67,
Белые ночи Петербурга — 4 дня,peterburg-belye-nochi-4-dnya,https://max.ru/id230814735866_2_bot?startapp=50,
Блистательный Петербург — 3 дня,peterburg-blistatelnyj-3-dnya,https://max.ru/id230814735866_2_bot?startapp=49,
Большое путешествие в Беларусь,bolshoe-puteshestvie-v-belarus-8-dnej,https://max.ru/id230814735866_2_bot?startapp=59,
Великолепие Восточного Крыма: от Звездопада Воспоминаний до Алчак-Кая,velikolepie-vostochnogo-kryma-zvezdopad-alchak,https://max.ru/id230814735866_2_bot?startapp=146,
Верхняя Балкария и Чегемские водопады,verkhnyaya-balkariya-chegem,https://max.ru/id230814735866_2_bot?startapp=18,
"Весеннее цветение Крыма: тюльпаны, сады, пещерные города и дворцы",vesennee-czvetenie-kryma-2-dnya,https://max.ru/id230814735866_2_bot?startapp=105,тур в архиве
Весенние водопады Руфабго и Мишоко с конными прогулками,vodopady-rufabgo-mishoko-konnye,https://max.ru/id230814735866_2_bot?startapp=123,
Весенний Узбекистан: 7 дней от Ташкента до Самарканда,vesennij-uzbekistan-7-dnej,https://max.ru/id230814735866_2_bot?startapp=104,
Весна в Лаго-Наки: Свято-Михайловский монастырь и термальные источники,lago-naki-monastyr-termy-1-den,https://max.ru/id230814735866_2_bot?startapp=125,тур в архиве
Винная классика: три центра винного туризма,vinnaya-klassika-tri-centra-vinnogo-turizma-1-den,https://max.ru/id230814735866_2_bot?startapp=101,
"Винодельни Азовского моря: Поместье Голубицкое, Шато-Тамань и Тамань",vinodelni-azovskogo-morya-golubickoe-taman,https://max.ru/id230814735866_2_bot?startapp=117,
"Винодельни Азовского моря: Фанагория, Шато-Тамань и Тамань",fanagoriya-shato-taman-taman,https://max.ru/id230814735866_2_bot?startapp=151,
"Водопады Жане, Голубая бездна и вечер в Геленджике",vodopady-zhane-golubaya-bezdna-gelendzhik,https://max.ru/id230814735866_2_bot?startapp=138,
Водопады Лазаревского района,vodopady-lazarevskogo-rajona,https://max.ru/id230814735866_2_bot?startapp=147,тур в архиве
Водопады р. Жане — Голубая бездна — скала Парус,vodopady-zhane-golubaya-bezdna-parus,https://max.ru/id230814735866_2_bot?startapp=86,
"Вокруг Анапы и «Греция»: 800 ступеней, Кипарисовое озеро и Винное подворье Старого Грека",vokrug-anapy-800-stupenej-vinnyj-grek,https://max.ru/id230814735866_2_bot?startapp=148,
"Вокруг Анапы: 800 ступеней, Кипарисовое озеро и Абрау-Дюрсо",vokrug-anapy-800-stupenej-kiparisovoe-abrau,https://max.ru/id230814735866_2_bot?startapp=122,
Волгоград — город-герой,volgograd-gorod-geroj,https://max.ru/id230814735866_2_bot?startapp=21,
Всесвятское кладбище: тайны старого Краснодара,vsesvyatskoe-kladbishhe-ekskursiya,https://max.ru/id230814735866_2_bot?startapp=100,
Вся Беларусь за 7 дней,vsya-belarus-7-dnej,https://max.ru/id230814735866_2_bot?startapp=55,
"Геленджик: море, скалы и набережная",gelendzhik-more-i-skaly,https://max.ru/id230814735866_2_bot?startapp=2,
"Горный Дагестан за 4 дня: каньоны, аулы-призраки и водопады",gornyj-dagestan-4-dnya,https://max.ru/id230814735866_2_bot?startapp=114,
"Горный Дагестан за 4 дня: Сулакский каньон, язык Тролля, Хунзах, Гамсутль, Гуниб, Гоор",gornyj-dagestan-za-4-dnya-sulakskij-kanon-yazyk-trollya-khunzakh-gamsutl-gunib-goor,https://max.ru/id230814735866_2_bot?startapp=172,
